latitude,longitude,value,date,variable
8.0,74.0,5.4815948968750195e-05,2019-02-15,hcho
8.0,74.5,4.9532043687659826e-05,2019-02-15,hcho
8.0,75.0,5.923302182205583e-05,2019-02-15,hcho
8.0,75.5,5.372645987358216e-05,2019-02-15,hcho
8.0,76.0,5.8048825907729154e-05,2019-02-15,hcho
8.0,76.5,5.2084810656267115e-05,2019-02-15,hcho
8.0,77.0,5.82323707925085e-05,2019-02-15,hcho
8.0,77.5,4.971688872193307e-05,2019-02-15,hcho
8.0,78.0,5.178229522981235e-05,2019-02-15,hcho
8.0,78.5,5.74974965109955e-05,2019-02-15,hcho
8.0,79.0,6.31618091795066e-05,2019-02-15,hcho
8.0,79.5,5.9634239362302343e-05,2019-02-15,hcho
8.0,80.0,5.460392611538864e-05,2019-02-15,hcho
8.0,80.5,4.9552081335856564e-05,2019-02-15,hcho
8.0,81.0,6.125714483885018e-05,2019-02-15,hcho
8.0,81.5,5.586936741734473e-05,2019-02-15,hcho
8.0,82.0,5.5633159272891e-05,2019-02-15,hcho
8.0,82.5,6.15339034596581e-05,2019-02-15,hcho
8.0,83.0,5.4383653681693624e-05,2019-02-15,hcho
8.0,83.5,5.550860260887249e-05,2019-02-15,hcho
8.0,84.0,5.522802642825207e-05,2019-02-15,hcho
8.0,84.5,5.517223580853715e-05,2019-02-15,hcho
8.0,85.0,5.006747722884362e-05,2019-02-15,hcho
8.5,72.5,4.6083125577903374e-05,2019-02-15,hcho
8.5,73.0,5.6812130812489026e-05,2019-02-15,hcho
8.5,73.5,5.056000673465974e-05,2019-02-15,hcho
8.5,74.0,5.335152186583219e-05,2019-02-15,hcho
8.5,74.5,5.77734898281192e-05,2019-02-15,hcho
8.5,75.0,4.8671249068425656e-05,2019-02-15,hcho
8.5,75.5,6.697078788976818e-05,2019-02-15,hcho
8.5,76.0,6.424267689440852e-05,2019-02-15,hcho
8.5,76.5,5.510132449410518e-05,2019-02-15,hcho
8.5,77.0,5.7235978187139514e-05,2019-02-15,hcho
8.5,77.5,5.2803114381709944e-05,2019-02-15,hcho
8.5,78.0,4.66799463073532e-05,2019-02-15,hcho
8.5,78.5,5.116651271402208e-05,2019-02-15,hcho
8.5,79.0,6.333211675584663e-05,2019-02-15,hcho
8.5,79.5,5.6614443264991454e-05,2019-02-15,hcho
8.5,80.0,4.696447156693324e-05,2019-02-15,hcho
8.5,80.5,5.6912089430107904e-05,2019-02-15,hcho
8.5,81.0,6.328236303520331e-05,2019-02-15,hcho
8.5,81.5,5.137190108665759e-05,2019-02-15,hcho
8.5,82.0,4.862600943649021e-05,2019-02-15,hcho
8.5,82.0,6.850705883599641,2019-02-15,frp
8.5,82.5,5.7244705243537e-05,2019-02-15,hcho
8.5,83.0,5.889877836995254e-05,2019-02-15,hcho
8.5,83.5,3.881927140246049e-05,2019-02-15,hcho
8.5,84.0,4.990366989613441e-05,2019-02-15,hcho
8.5,84.5,6.318766462246403e-05,2019-02-15,hcho
8.5,85.0,4.787490121300269e-05,2019-02-15,hcho
9.0,72.5,6.287290463788025e-05,2019-02-15,hcho
9.0,73.0,4.848722743665247e-05,2019-02-15,hcho
9.0,73.5,5.075899493730991e-05,2019-02-15,hcho
9.0,74.0,5.797705556386602e-05,2019-02-15,hcho
9.0,74.5,5.601554861749976e-05,2019-02-15,hcho
9.0,75.0,5.373997020824086e-05,2019-02-15,hcho
9.0,75.5,6.359662227327642e-05,2019-02-15,hcho
9.0,76.0,4.9477460698415425e-05,2019-02-15,hcho
9.0,76.5,5.490761271737175e-05,2019-02-15,hcho
9.0,77.0,5.860812422497255e-05,2019-02-15,hcho
9.0,77.5,5.707149753122483e-05,2019-02-15,hcho
9.0,78.0,5.25530405934467e-05,2019-02-15,hcho
9.0,78.5,5.271971440782861e-05,2019-02-15,hcho
9.0,79.0,5.991454867765479e-05,2019-02-15,hcho
9.0,79.5,6.016453756971592e-05,2019-02-15,hcho
9.0,80.0,5.7203035796932714e-05,2019-02-15,hcho
9.0,80.5,5.1521563137939306e-05,2019-02-15,hcho
9.0,81.0,5.286563299156482e-05,2019-02-15,hcho
9.0,81.5,5.556203022272893e-05,2019-02-15,hcho
9.0,82.0,5.625317510909358e-05,2019-02-15,hcho
9.0,82.5,5.840202509839986e-05,2019-02-15,hcho
9.0,83.0,5.46555749303802e-05,2019-02-15,hcho
9.0,83.5,5.979361993748982e-05,2019-02-15,hcho
9.0,84.0,5.973408637255286e-05,2019-02-15,hcho
9.0,84.5,6.219393222832132e-05,2019-02-15,hcho
9.0,85.0,5.577155740071346e-05,2019-02-15,hcho
9.5,72.5,5.7889141858229686e-05,2019-02-15,hcho
9.5,73.0,5.5617594823949054e-05,2019-02-15,hcho
9.5,73.5,5.217720667962011e-05,2019-02-15,hcho
9.5,74.0,6.673024647421478e-05,2019-02-15,hcho
9.5,74.5,6.205886446328781e-05,2019-02-15,hcho
9.5,75.0,6.022662356560216e-05,2019-02-15,hcho
9.5,75.5,5.62070762315529e-05,2019-02-15,hcho
9.5,76.0,5.178203823835832e-05,2019-02-15,hcho
9.5,76.5,6.114390876287624e-05,2019-02-15,hcho
9.5,77.0,5.5533023188276784e-05,2019-02-15,hcho
9.5,77.5,5.83329673671656e-05,2019-02-15,hcho
9.5,78.0,5.34496873317676e-05,2019-02-15,hcho
9.5,78.5,5.749314295133109e-05,2019-02-15,hcho
9.5,79.0,5.373359421893183e-05,2019-02-15,hcho
9.5,79.5,5.391311856769587e-05,2019-02-15,hcho
9.5,80.0,5.742855978257566e-05,2019-02-15,hcho
9.5,80.5,4.9027888388300854e-05,2019-02-15,hcho
9.5,81.0,4.92309912239047e-05,2019-02-15,hcho
9.5,81.5,5.26760889895253e-05,2019-02-15,hcho
9.5,82.0,5.520107433722824e-05,2019-02-15,hcho
9.5,82.5,6.055660821179758e-05,2019-02-15,hcho
9.5,83.0,5.546861744597034e-05,2019-02-15,hcho
9.5,83.5,5.617574441582553e-05,2019-02-15,hcho
9.5,84.0,5.482501690118679e-05,2019-02-15,hcho
9.5,84.5,5.7881902897477924e-05,2019-02-15,hcho
9.5,85.0,5.2132155378025863e-05,2019-02-15,hcho
10.0,72.5,5.628561895387365e-05,2019-02-15,hcho
10.0,73.0,5.883797830665264e-05,2019-02-15,hcho
10.0,73.5,5.794988210521002e-05,2019-02-15,hcho
10.0,74.0,5.689238170006691e-05,2019-02-15,hcho
10.0,74.5,5.695197056745265e-05,2019-02-15,hcho
10.0,75.0,5.931941115238518e-05,2019-02-15,hcho
10.0,75.5,6.759533198371571e-05,2019-02-15,hcho
10.0,76.0,5.2992681881717686e-05,2019-02-15,hcho
10.0,76.5,6.77784343622463e-05,2019-02-15,hcho
10.0,77.0,5.278792826938218e-05,2019-02-15,hcho
10.0,77.5,4.6209941074608896e-05,2019-02-15,hcho
10.0,78.0,5.420064458775413e-05,2019-02-15,hcho
10.0,78.5,5.8538199575043734e-05,2019-02-15,hcho
10.0,79.0,6.621027389223737e-05,2019-02-15,hcho
10.0,79.5,5.233734633941614e-05,2019-02-15,hcho
10.0,80.0,5.9289015553690464e-05,2019-02-15,hcho
10.0,80.5,5.022825366105472e-05,2019-02-15,hcho
10.0,81.0,6.59867135254297e-05,2019-02-15,hcho
10.0,81.5,6.272662029976438e-05,2019-02-15,hcho
10.0,82.0,5.448354143563441e-05,2019-02-15,hcho
10.0,82.5,4.826374705070355e-05,2019-02-15,hcho
10.0,83.0,6.3598781566985e-05,2019-02-15,hcho
10.0,83.5,5.625672046989484e-05,2019-02-15,hcho
10.0,84.0,6.301850125602524e-05,2019-02-15,hcho
10.0,84.5,5.685563819474885e-05,2019-02-15,hcho
10.0,85.0,5.706432266498164e-05,2019-02-15,hcho
10.5,72.5,5.509813715448413e-05,2019-02-15,hcho
10.5,73.0,6.046271417361784e-05,2019-02-15,hcho
10.5,73.5,5.794994267043984e-05,2019-02-15,hcho
10.5,74.0,5.992065868217409e-05,2019-02-15,hcho
10.5,74.5,4.967789365820223e-05,2019-02-15,hcho
10.5,75.0,6.37368486213729e-05,2019-02-15,hcho
10.5,75.5,6.510422438949295e-05,2019-02-15,hcho
10.5,76.0,5.7926837683344633e-05,2019-02-15,hcho
10.5,76.5,6.765220413629028e-05,2019-02-15,hcho
10.5,77.0,6.612516872409636e-05,2019-02-15,hcho
10.5,77.5,6.057534425980608e-05,2019-02-15,hcho
10.5,78.0,6.419162229954209e-05,2019-02-15,hcho
10.5,78.5,6.264058694612828e-05,2019-02-15,hcho
10.5,79.0,4.855476707976477e-05,2019-02-15,hcho
10.5,79.5,5.600143033965755e-05,2019-02-15,hcho
10.5,80.0,6.0936175790860154e-05,2019-02-15,hcho
10.5,80.5,6.549154223973681e-05,2019-02-15,hcho
10.5,81.0,5.044795722080589e-05,2019-02-15,hcho
10.5,81.5,4.883155231510457e-05,2019-02-15,hcho
10.5,82.0,5.707072601739725e-05,2019-02-15,hcho
10.5,82.5,4.701125401168096e-05,2019-02-15,hcho
10.5,83.0,5.69028643143164e-05,2019-02-15,hcho
10.5,83.5,5.9181455742364584e-05,2019-02-15,hcho
10.5,84.0,5.2649065580243564e-05,2019-02-15,hcho
10.5,84.5,5.703506902551448e-05,2019-02-15,hcho
10.5,85.0,6.212417611438653e-05,2019-02-15,hcho
11.0,72.5,5.5172859109366505e-05,2019-02-15,hcho
11.0,73.0,5.385978303991699e-05,2019-02-15,hcho
11.0,73.5,5.728899540145592e-05,2019-02-15,hcho
11.0,74.0,5.264793558913184e-05,2019-02-15,hcho
11.0,74.5,6.764777286581065e-05,2019-02-15,hcho
11.0,75.0,5.800046496108735e-05,2019-02-15,hcho
11.0,75.5,5.4325519661265786e-05,2019-02-15,hcho
11.0,76.0,5.889404675489982e-05,2019-02-15,hcho
11.0,76.5,5.726250695277456e-05,2019-02-15,hcho
11.0,77.0,5.67192992035626e-05,2019-02-15,hcho
11.0,77.5,5.517164146317607e-05,2019-02-15,hcho
11.0,78.0,5.4945055998005315e-05,2019-02-15,hcho
11.0,78.5,5.024819189023595e-05,2019-02-15,hcho
11.0,79.0,6.465851853845133e-05,2019-02-15,hcho
11.0,79.5,6.070693201650755e-05,2019-02-15,hcho
11.0,80.0,5.938039797394639e-05,2019-02-15,hcho
11.0,80.5,5.718455924382488e-05,2019-02-15,hcho
11.0,81.0,5.304644499822658e-05,2019-02-15,hcho
11.0,81.5,5.4042393474807195e-05,2019-02-15,hcho
11.0,82.0,5.071287865324034e-05,2019-02-15,hcho
11.0,82.5,5.459128278001608e-05,2019-02-15,hcho
11.0,83.0,5.2416407183156734e-05,2019-02-15,hcho
11.0,83.5,6.625985537659154e-05,2019-02-15,hcho
11.0,84.0,6.223234598597596e-05,2019-02-15,hcho
11.0,84.5,5.8210988739466806e-05,2019-02-15,hcho
11.0,85.0,5.35177261945874e-05,2019-02-15,hcho
11.5,72.5,5.306904803357814e-05,2019-02-15,hcho
11.5,73.0,5.7303585414792384e-05,2019-02-15,hcho
11.5,73.5,6.288616654286863e-05,2019-02-15,hcho
11.5,74.0,6.780236200756108e-05,2019-02-15,hcho
11.5,74.5,5.126244093611471e-05,2019-02-15,hcho
11.5,75.0,6.107012498866328e-05,2019-02-15,hcho
11.5,75.5,5.5002065959601285e-05,2019-02-15,hcho
11.5,76.0,5.581965188638694e-05,2019-02-15,hcho
11.5,76.5,5.8497886944934556e-05,2019-02-15,hcho
11.5,77.0,5.410052822315523e-05,2019-02-15,hcho
11.5,77.5,5.706053857087837e-05,2019-02-15,hcho
11.5,78.0,5.3717460495002435e-05,2019-02-15,hcho
11.5,78.5,5.5371422152368755e-05,2019-02-15,hcho
11.5,79.0,6.20322349343392e-05,2019-02-15,hcho
11.5,79.5,5.875194033235655e-05,2019-02-15,hcho
11.5,80.0,6.201221442206936e-05,2019-02-15,hcho
11.5,80.5,5.494216001048119e-05,2019-02-15,hcho
11.5,81.0,6.110827214817621e-05,2019-02-15,hcho
11.5,81.5,5.011756661579461e-05,2019-02-15,hcho
11.5,82.0,5.8495703538517335e-05,2019-02-15,hcho
11.5,82.5,6.14482410990973e-05,2019-02-15,hcho
11.5,83.0,4.9947678493865625e-05,2019-02-15,hcho
11.5,83.5,5.499609826619963e-05,2019-02-15,hcho
11.5,84.0,5.8492272161792494e-05,2019-02-15,hcho
11.5,84.5,6.328674285128262e-05,2019-02-15,hcho
11.5,85.0,5.5370819457594676e-05,2019-02-15,hcho
12.0,72.5,6.128980260892095e-05,2019-02-15,hcho
12.0,73.0,6.584862482263403e-05,2019-02-15,hcho
12.0,73.5,6.152614235524723e-05,2019-02-15,hcho
12.0,74.0,5.7625554789129565e-05,2019-02-15,hcho
12.0,74.5,6.0496511086201075e-05,2019-02-15,hcho
12.0,75.0,5.5620855785765426e-05,2019-02-15,hcho
12.0,75.5,5.907373065670903e-05,2019-02-15,hcho
12.0,76.0,5.7862395542384134e-05,2019-02-15,hcho
12.0,76.5,6.032879502972054e-05,2019-02-15,hcho
12.0,77.0,5.658139688873219e-05,2019-02-15,hcho
12.0,77.5,6.061304243123601e-05,2019-02-15,hcho
12.0,78.0,5.6535859315243216e-05,2019-02-15,hcho
12.0,78.5,6.2996405236503e-05,2019-02-15,hcho
12.0,79.0,5.7010664058505326e-05,2019-02-15,hcho
12.0,79.5,4.845015904345526e-05,2019-02-15,hcho
12.0,80.0,5.360035016475751e-05,2019-02-15,hcho
12.0,80.5,5.873287361529229e-05,2019-02-15,hcho
12.0,81.0,6.702296828072094e-05,2019-02-15,hcho
12.0,81.5,6.278780962526198e-05,2019-02-15,hcho
12.0,82.0,4.75851051743051e-05,2019-02-15,hcho
12.0,82.5,5.124785049044532e-05,2019-02-15,hcho
12.0,83.0,6.435955193537918e-05,2019-02-15,hcho
12.0,83.5,6.180469104987595e-05,2019-02-15,hcho
12.0,84.0,6.999424600836652e-05,2019-02-15,hcho
12.0,84.5,5.634397722164331e-05,2019-02-15,hcho
12.0,85.0,5.439155987202057e-05,2019-02-15,hcho
12.5,72.5,5.933752357320869e-05,2019-02-15,hcho
12.5,73.0,5.6591405153286145e-05,2019-02-15,hcho
12.5,73.5,6.416739210840122e-05,2019-02-15,hcho
12.5,74.0,5.642961039283799e-05,2019-02-15,hcho
12.5,74.5,5.763031771064487e-05,2019-02-15,hcho
12.5,75.0,5.408587380820019e-05,2019-02-15,hcho
12.5,75.5,6.276463547033848e-05,2019-02-15,hcho
12.5,76.0,5.43688657662236e-05,2019-02-15,hcho
12.5,76.5,6.104686690323023e-05,2019-02-15,hcho
12.5,77.0,6.836367144990206e-05,2019-02-15,hcho
12.5,77.5,5.0086091142590336e-05,2019-02-15,hcho
12.5,78.0,6.645991394455764e-05,2019-02-15,hcho
12.5,78.5,6.037953551871083e-05,2019-02-15,hcho
12.5,79.0,5.335224715061985e-05,2019-02-15,hcho
12.5,79.5,5.952666636013619e-05,2019-02-15,hcho
12.5,80.0,6.260852550660519e-05,2019-02-15,hcho
12.5,80.5,5.5027320109885166e-05,2019-02-15,hcho
12.5,81.0,6.133703417279171e-05,2019-02-15,hcho
12.5,81.5,6.694562552030872e-05,2019-02-15,hcho
12.5,82.0,5.6423614004955805e-05,2019-02-15,hcho
12.5,82.5,5.4031668285818826e-05,2019-02-15,hcho
12.5,83.0,5.835075778661349e-05,2019-02-15,hcho
12.5,83.5,5.92583169485552e-05,2019-02-15,hcho
12.5,84.0,6.445064997946647e-05,2019-02-15,hcho
12.5,84.5,5.818965289421678e-05,2019-02-15,hcho
12.5,85.0,5.6845287037374625e-05,2019-02-15,hcho
12.5,85.0,11.08570844885253,2019-02-15,frp
13.0,72.5,6.35323961534952e-05,2019-02-15,hcho
13.0,73.0,4.7667476838453206e-05,2019-02-15,hcho
13.0,73.5,6.562179144122244e-05,2019-02-15,hcho
13.0,74.0,5.51787926231319e-05,2019-02-15,hcho
13.0,74.5,5.364406866960942e-05,2019-02-15,hcho
13.0,75.0,5.852598037469621e-05,2019-02-15,hcho
13.0,75.5,6.329335925889819e-05,2019-02-15,hcho
13.0,76.0,5.84850942415216e-05,2019-02-15,hcho
13.0,76.5,5.4185202855616904e-05,2019-02-15,hcho
13.0,77.0,6.185451025158447e-05,2019-02-15,hcho
13.0,77.5,5.527561085421753e-05,2019-02-15,hcho
13.0,78.0,5.844848541809538e-05,2019-02-15,hcho
13.0,78.5,5.588333264467532e-05,2019-02-15,hcho
13.0,79.0,6.001759652570625e-05,2019-02-15,hcho
13.0,79.5,5.869694361092874e-05,2019-02-15,hcho
13.0,80.0,6.0046346826321454e-05,2019-02-15,hcho
13.0,80.5,7.212079790679553e-05,2019-02-15,hcho
13.0,81.0,5.373564143534375e-05,2019-02-15,hcho
13.0,81.5,6.62140750535453e-05,2019-02-15,hcho
13.0,82.0,4.5974406923096995e-05,2019-02-15,hcho
13.0,82.5,5.338352188196918e-05,2019-02-15,hcho
13.0,83.0,6.028967269903811e-05,2019-02-15,hcho
13.0,83.5,5.852177387453155e-05,2019-02-15,hcho
13.0,84.0,6.190998751300216e-05,2019-02-15,hcho
13.0,84.5,5.746170885217884e-05,2019-02-15,hcho
13.0,85.0,5.892321459377881e-05,2019-02-15,hcho
13.5,72.5,5.9068361278564835e-05,2019-02-15,hcho
13.5,73.0,5.9664385329168973e-05,2019-02-15,hcho
13.5,73.5,6.000819604471986e-05,2019-02-15,hcho
13.5,74.0,5.886274142659714e-05,2019-02-15,hcho
13.5,74.5,5.776105951713925e-05,2019-02-15,hcho
13.5,75.0,5.8368386898765224e-05,2019-02-15,hcho
13.5,75.5,6.0687727182308615e-05,2019-02-15,hcho
13.5,76.0,6.0778244694222614e-05,2019-02-15,hcho
13.5,76.5,5.622830056594571e-05,2019-02-15,hcho
13.5,77.0,5.482768874541658e-05,2019-02-15,hcho
13.5,77.0,6.340807094456737,2019-02-15,frp
13.5,77.5,6.114513226774378e-05,2019-02-15,hcho
13.5,78.0,5.325889927460667e-05,2019-02-15,hcho
13.5,78.5,5.6900852053937985e-05,2019-02-15,hcho
13.5,79.0,6.475951328571763e-05,2019-02-15,hcho
13.5,79.5,5.173132128891366e-05,2019-02-15,hcho
13.5,80.0,6.254451691326138e-05,2019-02-15,hcho
13.5,80.5,4.910482011711457e-05,2019-02-15,hcho
13.5,81.0,6.799674899798338e-05,2019-02-15,hcho
13.5,81.5,5.678987172248843e-05,2019-02-15,hcho
13.5,82.0,6.151014772829353e-05,2019-02-15,hcho
13.5,82.5,6.008560539984338e-05,2019-02-15,hcho
13.5,83.0,6.026597596384257e-05,2019-02-15,hcho
13.5,83.5,6.105347600099348e-05,2019-02-15,hcho
13.5,84.0,5.0963625193250055e-05,2019-02-15,hcho
13.5,84.5,6.036879434717289e-05,2019-02-15,hcho
13.5,85.0,5.8594550474769786e-05,2019-02-15,hcho
14.0,72.5,5.70101961982224e-05,2019-02-15,hcho
14.0,72.5,41.853327915403355,2019-02-15,frp
14.0,73.0,5.5817470972757645e-05,2019-02-15,hcho
14.0,73.5,5.156102966988757e-05,2019-02-15,hcho
14.0,74.0,6.246831287631672e-05,2019-02-15,hcho
14.0,74.5,5.7363255998794536e-05,2019-02-15,hcho
14.0,74.5,7.208121060310858,2019-02-15,frp
14.0,75.0,6.234368166292817e-05,2019-02-15,hcho
14.0,75.5,6.098914327133859e-05,2019-02-15,hcho
14.0,76.0,6.462244951949677e-05,2019-02-15,hcho
14.0,76.5,5.050462344311098e-05,2019-02-15,hcho
14.0,77.0,5.33111097660907e-05,2019-02-15,hcho
14.0,77.5,6.229728970211483e-05,2019-02-15,hcho
14.0,78.0,5.6080275534001876e-05,2019-02-15,hcho
14.0,78.5,5.665140558480947e-05,2019-02-15,hcho
14.0,79.0,5.2675689115528095e-05,2019-02-15,hcho
14.0,79.5,5.4829628334882544e-05,2019-02-15,hcho
14.0,80.0,6.49772035828084e-05,2019-02-15,hcho
14.0,80.5,6.217558410417366e-05,2019-02-15,hcho
14.0,81.0,6.0633175218243574e-05,2019-02-15,hcho
14.0,81.5,5.683080546858034e-05,2019-02-15,hcho
14.0,82.0,6.0319043672996016e-05,2019-02-15,hcho
14.0,82.5,6.545536123119759e-05,2019-02-15,hcho
14.0,83.0,5.619311247413977e-05,2019-02-15,hcho
14.0,83.5,5.95340521472844e-05,2019-02-15,hcho
14.0,84.0,6.856299777794676e-05,2019-02-15,hcho
14.0,84.5,6.324775427704658e-05,2019-02-15,hcho
14.0,85.0,5.689666072029787e-05,2019-02-15,hcho
14.5,72.5,6.296330963183776e-05,2019-02-15,hcho
14.5,73.0,5.200313622129949e-05,2019-02-15,hcho
14.5,73.5,5.9482092675251544e-05,2019-02-15,hcho
14.5,74.0,6.295762030850516e-05,2019-02-15,hcho
14.5,74.5,6.175524907578159e-05,2019-02-15,hcho
14.5,75.0,6.290718854717089e-05,2019-02-15,hcho
14.5,75.5,6.40238705934963e-05,2019-02-15,hcho
14.5,76.0,6.215016021689396e-05,2019-02-15,hcho
14.5,76.5,6.200235091641471e-05,2019-02-15,hcho
14.5,77.0,6.089269825656733e-05,2019-02-15,hcho
14.5,77.5,5.444897711871046e-05,2019-02-15,hcho
14.5,78.0,6.512002408741629e-05,2019-02-15,hcho
